"Frekvens","Allokering","Bruk"
"0 - 8.3 kHz (5.53 | 5.54)","Not allocated",""
"8.3 - 9 kHz","METEOROLOGICAL AIDS (5.54A)","Lightning detection systems"
"9 - 11.3 kHz","METEOROLOGICAL AIDS (5.54A) | RADIONAVIGATION","Active medical implants | ISM | Inductive applications | Lightning detection systems"
"11.3 - 14 kHz","RADIONAVIGATION","Active medical implants | ISM | Inductive applications"
"14 - 19.95 kHz (5.56 | ECA36)","FIXED  | MARITIME MOBILE (5.57)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"19.95 - 20.05 kHz","STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)","-"
"20.05 - 70 kHz (5.56 | ECA36)","FIXED  | MARITIME MOBILE (5.57)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"70 - 72 kHz (ECA36)","RADIONAVIGATION (5.60)","Active medical implants | Inductive applications"
"72 - 84 kHz (5.56 | ECA36)","FIXED  | MARITIME MOBILE (5.57) | RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems | Standard frequency and time signal"
"84 - 86 kHz (ECA36)","RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"86 - 90 kHz (5.56 | ECA36)","FIXED  | MARITIME MOBILE (5.57) | RADIONAVIGATION","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"90 - 110 kHz (5.64 | ECA36)","Fixed  | RADIONAVIGATION (5.62)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"110 - 112 kHz (5.64 | ECA36)","FIXED  | MARITIME MOBILE  | RADIONAVIGATION","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"112 - 115 kHz (ECA36)","RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"115 - 117.6 kHz (5.64 | ECA36)","Fixed  | Maritime Mobile  | RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"117.6 - 126 kHz (5.64 | ECA36)","FIXED  | MARITIME MOBILE  | RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"126 - 129 kHz (ECA36)","RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"129 - 130 kHz (5.64 | ECA36)","FIXED  | MARITIME MOBILE  | RADIONAVIGATION (5.60)","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"130 - 135.7 kHz (5.64 | ECA36)","FIXED  | MARITIME MOBILE","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"135.7 - 137.8 kHz (5.67B | ECA36)","Amateur (5.67A) | FIXED  | MARITIME MOBILE","Active medical implants | Amateur | Inductive applications | Land military systems | Maritime military systems"
"137.8 - 148.5 kHz (5.64 | ECA36)","FIXED  | MARITIME MOBILE","Active medical implants | Inductive applications | Land military systems | Maritime military systems"
"148.5 - 255 kHz","BROADCASTING","Active medical implants | Broadcasting | Inductive applications"
"255 - 283.5 kHz (ECA36)","AERONAUTICAL RADIONAVIGATION  | BROADCASTING","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Broadcasting | Inductive applications | Maritime military systems"
"283.5 - 315 kHz (5.74 | ECA36)","AERONAUTICAL RADIONAVIGATION  | MARITIME RADIONAVIGATION (RADIOBEACONS) (5.73)","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Beacons (maritime) | Inductive applications | Maritime military systems"
"315 - 325 kHz (ECA36)","AERONAUTICAL RADIONAVIGATION  | Maritime Radionavigation (radiobeacons) (5.73)","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Beacons (maritime) | Inductive applications | Maritime military systems"
"325 - 405 kHz (ECA36)","AERONAUTICAL RADIONAVIGATION","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Inductive applications"
"405 - 415 kHz (ECA36)","RADIONAVIGATION (5.76)","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Beacons (maritime) | Inductive applications | Maritime military systems"
"415 - 435 kHz (ECA36)","Aeronautical Radionavigation  | MARITIME MOBILE (5.79)","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Inductive applications | Maritime communications | Maritime military systems"
"435 - 472 kHz (5.82 | ECA36)","Aeronautical Radionavigation  | MARITIME MOBILE (5.79)","Active medical implants | Aeronautical military systems | Emergency detection | Inductive applications | Maritime communications | Maritime military systems"
"472 - 479 kHz (5.80B | 5.82 | ECA36)","Aeronautical Radionavigation  | Amateur (5.80A) | MARITIME MOBILE (5.79)","Active medical implants | Aeronautical military systems | Amateur | Inductive applications | Maritime communications | Maritime military systems"
"479 - 495 kHz (5.82 | ECA36)","Aeronautical Radionavigation  | MARITIME MOBILE (5.79 | 5.79)","Active medical implants | Aeronautical military systems | Inductive applications | Maritime communications | Maritime military systems | NAVTEX"
"495 - 505 kHz (ECA36)","MOBILE","Active medical implants | Inductive applications | Maritime military systems"
"505 - 526.5 kHz (ECA36)","AERONAUTICAL RADIONAVIGATION  | MARITIME MOBILE (5.79 | 5.79 | 5.79)","Active medical implants | Aeronautical military systems | Beacons (aeronautical) | Inductive applications | Maritime communications | Maritime military systems | NAVTEX"
"526.5 - 1606.5 kHz","BROADCASTING","Active medical implants | Broadcasting | Inductive applications"
"1606.5 - 1625 kHz (ECA36)","FIXED  | LAND MOBILE  | MARITIME MOBILE (5.90) | Radiolocation","Inductive applications | Land military systems | Maritime communications | Maritime military systems | Radiodetermination applications"
"1625 - 1635 kHz (5.93 | ECA36)","RADIOLOCATION","Inductive applications | Radiodetermination applications | Radiolocation (military)"
"1635 - 1800 kHz (5.96 | ECA36)","FIXED  | LAND MOBILE  | MARITIME MOBILE (5.90)","Inductive applications | Land military systems | Maritime communications | Maritime military systems | Radiodetermination applications"
"1800 - 1810 kHz (5.93 | ECA36)","RADIOLOCATION","Inductive applications | Radiodetermination applications | Radiolocation (military)"
"1810 - 1850 kHz (5.100 | 5.98)","AMATEUR","Amateur | Inductive applications"
"1850 - 2000 kHz (5.103 | 5.96 | ECA36)","Amateur  | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Amateur | Inductive applications | Land military systems | Maritime communications | Maritime military systems | Radiodetermination applications"
"2000 - 2025 kHz (5.103 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime communications | Maritime military systems | Radiodetermination applications"
"2025 - 2045 kHz (5.103 | 5.104 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime communications | Maritime military systems | Oceanographic buoys | Radiodetermination applications"
"2045 - 2160 kHz (5.92 | ECA36)","FIXED  | LAND MOBILE  | MARITIME MOBILE","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"2160 - 2170 kHz (5.93 | ECA36)","RADIOLOCATION","Inductive applications | Radiodetermination applications | Radiolocation (military)"
"2170 - 2173.5 kHz (ECA36)","MARITIME MOBILE","Inductive applications | Maritime communications | Maritime military systems"
"2173.5 - 2190.5 kHz (5.108 | 5.109 | 5.110 | 5.111 | ECA36)","MOBILE (DISTRESS AND CALLING)","DSC | Inductive applications | Maritime communications"
